name,category,subcategory,brand,description,image_url,tags,status
"Ndricues kopeshti dysh me panel, 15x18x36cm, 120Lm, IP44",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310587/nearbuy/products/ndricues_kopeshti_dysh_me_panel__15x18x36cm___33.jpg,elektrik,active
Baladeze me 4 priza 20m 3×1.5mm kabull portokalli me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310592/nearbuy/products/baladeze_me_4_priza_20m_3_1_5mm_kabull_portok_34.png,elektrik,active
Prozhektor led 200W 6000K 18000Lm,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310597/nearbuy/products/prozhektor_led_200w_6000k_18000lm_35.jpg,elektrik,active
Baladeze me 4 priza 25m 3×1.5,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310602/nearbuy/products/baladeze_me_4_priza_25m_3_1_5_36.png,elektrik,active
"Prozhektor 150W, 6500 K",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310608/nearbuy/products/prozhektor_150w__6500_k_37.png,elektrik,active
Baladeze metalike me 4 priza 20m 3×1.5mm,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310614/nearbuy/products/baladeze_metalike_me_4_priza_20m_3_1_5mm_38.png,elektrik,active
Prozhektor LED me sensor PIR 150W 6000K 13500Lm,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310620/nearbuy/products/prozhektor_led_me_sensor_pir_150w_6000k_13500_39.jpg,elektrik,active
"Prozhekor LED SMD, 150 W",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310628/nearbuy/products/prozhekor_led_smd__150_w_40.png,elektrik,active
"Pllafon LED LIGHTPRO fuqia 32 W, 220 – 240 V, 3400 lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310634/nearbuy/products/pllafon_led_lightpro_fuqia_32_w__220___240_v__41.jpg,elektrik,active
"Ndricues pasqyre krom 6W, 6500K Gold",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310640/nearbuy/products/ndricues_pasqyre_krom_6w__6500k_gold_42.png,elektrik,active
"Ndricues pasqyre e zeze 6W, 6500K",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310645/nearbuy/products/ndricues_pasqyre_e_zeze_6w__6500k_43.png,elektrik,active
Prozhektor LED 30W 3000LM me sensor,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310651/nearbuy/products/prozhektor_led_30w_3000lm_me_sensor_44.jpg,elektrik,active
Ndricues magazine led 150cm 90W 6500K 9350Lm,Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310656/nearbuy/products/ndricues_magazine_led_150cm_90w_6500k_9350lm_45.jpg,elektrik,active
"Ndricues pasqyre krom 6W, 6500K (20 Pcs/CRT)",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310661/nearbuy/products/ndricues_pasqyre_krom_6w__6500k__20_pcs_crt__46.jpg,elektrik,active
Prozhektor led 150W 6000K 13500Lm,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310666/nearbuy/products/prozhektor_led_150w_6000k_13500lm_47.jpg,elektrik,active
"Zgjatues 10m me 5 priza dhe celes 3.1.5mm i gomuar, I zi, me kapak me suste, IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310672/nearbuy/products/zgjatues_10m_me_5_priza_dhe_celes_3_1_5mm_i_g_48.png,elektrik,active
Ndricues magazine led 120cm 72W 6500K 7850Lm,Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310677/nearbuy/products/ndricues_magazine_led_120cm_72w_6500k_7850lm_49.jpg,elektrik,active
Prozhektor LED me sensor PIR 100W 6000K 9000Lm,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310683/nearbuy/products/prozhektor_led_me_sensor_pir_100w_6000k_9000l_50.jpg,elektrik,active
Baladez portabel 15m 3×1.5mm,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310689/nearbuy/products/baladez_portabel_15m_3_1_5mm_51.png,elektrik,active
"Ndricues magazine LED 48W, 6500K, 150CM – UTP4865",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310695/nearbuy/products/ndricues_magazine_led_48w__6500k__150cm___utp_52.jpg,elektrik,active
"Prozhektor 100W, 6500 K(10Pcs/CRT)",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310701/nearbuy/products/prozhektor_100w__6500_k_10pcs_crt__53.jpg,elektrik,active
"Zgjatues 10m me 3 priza dhe celes 3.1.5mm i gomuar, I zi, me kapak me suste, IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310708/nearbuy/products/zgjatues_10m_me_3_priza_dhe_celes_3_1_5mm_i_g_54.png,elektrik,active
"Spot inkaso LED WELLMAX fuqia 48 W, 176 – 264 V, 6500 K, 4800 lm",Elektrik,Spot & Lustër,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310713/nearbuy/products/spot_inkaso_led_wellmax_fuqia_48_w__176___264_55.png,elektrik,active
"Prozhektor LED SMD, 100 W 6500K",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310719/nearbuy/products/prozhektor_led_smd__100_w_6500k_56.png,elektrik,active
"Shirit LED, 24V, 20W/m, 240 led, 4000 K, 5 Meter – SL242440",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310725/nearbuy/products/shirit_led__24v__20w_m__240_led__4000_k__5_me_57.png,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 60 W, 220 – 240 V, 4000 K, 5400 lm",Elektrik,Spot & Lustër,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310731/nearbuy/products/spot_inkaso_led_lightpro_fuqia_60_w__220___24_58.jpg,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 60 W, 220 – 240 V, 6500 K, 5400 lm",Elektrik,Spot & Lustër,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310737/nearbuy/products/spot_inkaso_led_lightpro_fuqia_60_w__220___24_59.jpg,elektrik,active
Baladeze bosh per 50m kabull me 4 priza me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310743/nearbuy/products/baladeze_bosh_per_50m_kabull_me_4_priza_me_mb_60.jpg,elektrik,active
Ndricues kopshti katror me 3 ndarje E27,Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310749/nearbuy/products/ndricues_kopshti_katror_me_3_ndarje_e27_61.png,elektrik,active
"Transformator Led RGB, 12-24 V, 24A, 576W",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310755/nearbuy/products/transformator_led_rgb__12_24_v__24a__576w_62.png,elektrik,active
"Prozhekor LED SMD me sensor, 50 W",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310761/nearbuy/products/prozhekor_led_smd_me_sensor__50_w_63.png,elektrik,active
